Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;Alerte;Origine de l'alerte;Surface parcourue (m2)
2012;10097;0;2B;2B252;Pruno;;NC84C04;2012-11-09 16:57:00;;2500
2016;3177;0;2A;2A211;Petreto-Bicchisano;Route de Porto-Pollo;NB46E21;2016-06-08 11:12:00;3;50
2016;3172;0;2A;2A284;Sollacaro;ROUTE DE LA CIGALE;NB44B93;2016-06-04 14:03:00;3;300
2016;3231;0;2A;2A276;Serra-di-Ferro;Hameau PIETRA ROSSA;NB44A93;2016-06-24 16:21:00;3;20000
2013;5601;0;2B;2B143;Linguizzetta;;NC80H63;2013-10-22 12:12:00;;60
2013;1238;0;2A;2A326;Tolla;VILLAGE;NB48F35;2013-04-17 16:13:00;3;3000
2013;1230;0;2A;2A326;Tolla;VILLAGE;NB48F35;2013-04-14 12:39:00;3;300
2014;786;0;2B;2B046;Cagnano;;NC88A45;2014-03-20 12:37:00;;5
2015;3216;0;2A;2A276;Serra-di-Ferro;PORTO POLLO;NB24L8;2015-07-16 17:44:00;3;250
2018;2536;0;2A;2A215;Pianottoli-Caldarello;RT40 - A côté d'un établissement désaffecté;NB62B65;2018-07-07 15:01:00;;200
2014;3556;0;2B;2B046;Cagnano;;NC88B53;2014-07-14 09:42:00;;100
2012;123;0;2B;2B355;Volpajola;;NC64L42;2012-01-06 22:56:00;;500
2019;2325;0;2A;2A276;Serra-di-Ferro;Hameau de Pietra Rossa 2Km après le village en direction de Tassinca. Gend SLL;NB46A03;2019-05-14 18:59:00;;10000
2014;285;0;2B;2B075;Casevecchie;;NC80A31;2014-02-27 18:23:00;;100
2015;1709;0;2A;2A211;Petreto-Bicchisano;Route d'Aullène;NB46H22;2015-05-21 16:16:00;3;5
2015;1366;0;2A;2A089;Ciamannacce;Centre village;NB68C22;2015-01-12 12:27:00;3;200
2015;889;0;2B;2B337;Valle-di-Rostino;;NC64G11;2015-04-13 13:03:00;;53361
2015;812;0;2A;2A198;Ota;Centre village;NC20E8;2015-01-09 13:15:00;3;2000
2018;3780;0;2A;2A118;Fozzano;Village, sous l'église;NB44K84;2018-01-06 16:27:00;;30
2019;2324;0;2A;2A144;Lopigna;Piste de Taggia;NB28L93;2019-05-14 13:54:00;;2000
2021;3083;0;2A;2A024;Aullène;Quartier Cardelli;NB66B24;2021-06-15 16:53:00;;1
2014;2726;0;2A;2A345;Vero;SAN ELISEO;NB48C82;2014-05-18 09:01:00;3;300
2021;2068;0;2A;2A351;Villanova;San Fedele;NB28D11;2021-04-13 12:09:00;;200
2012;4546;0;2A;2A091;Cognocoli-Monticchi;MARATO;NB46B42;2012-03-14 13:54:00;3;200
2021;696;0;2A;2A139;Lecci;Porto-Vecchiano;NB84B73;2021-02-24 19:18:00;;1
2012;5188;0;2A;2A139;Lecci;MORA DEL ONDA;NB84C64;2012-06-26 15:06:00;3;8000
2022;5488;0;2A;2A017;Appietto;Bocca di Carbinica;NB28F35;2022-03-14 16:34:00;;1
2013;5446;0;2A;2A108;Évisa;Aïtone;NC20K81;2013-10-09 17:08:00;3;100
2022;6621;0;2B;2B185;Oletta;boccheciampe;NC66H1;2022-10-07 12:54:00;;12000
2012;5369;0;2B;2B075;Casevecchie;;NC80A31;2012-07-07 09:34:00;;20
2020;4785;0;2A;2A154;Marignana;Village;NC20H61;2020-09-13 23:37:00;;10
2017;1089;0;2A;2A200;Palneca;D28 sous mairie;NB68D3;2017-03-17 10:34:00;3;3000
2012;6049;0;2B;2B185;Oletta;;NC66H14;2012-07-15 11:49:00;;15000
2012;6848;0;2B;2B150;Lumio;;NC24G51;2012-07-27 12:50:00;;5
2016;3185;0;2A;2A189;Olmeto;ROUTE DU MAGHJESE;NB44F71;2016-06-20 17:17:00;3;5000
2014;569;0;2B;2B124;Ghisoni;;NC60D22;2014-03-19 20:06:00;;200
2015;810;0;2A;2A349;Viggianello;A proximité du terrain de CROSS;NB44F52;2015-01-07 12:54:00;3;20
2013;201;0;2B;2B049;Calenzana;;NC24K25;2013-02-01 17:50:00;;10000
2013;1896;0;2A;2A312;Santa-Maria-Siché;acqua d'argente;NB46G84;2013-06-16 12:12:00;3;8700
2016;3054;0;2B;2B187;Olmeta-di-Capocorso;Chapelle saint erasmo;NC66K95;2016-06-23 18:01:00;;35000
2016;3266;0;2B;2B184;Olcani;;NC68K02;2016-06-30 19:17:00;;500
2016;1405;0;2A;2A284;Sollacaro;VILLAGE;NB46E0;2016-04-02 17:47:00;3;70
2021;7312;0;2A;2A349;Viggianello;Petra Pinzuta;NB44G54;2021-10-08 11:16:00;;8000
2021;7342;0;2A;2A247;Porto-Vecchio;Erbaggio;NB84A25;2021-10-19 18:54:00;;3000
2014;562;0;2B;2B354;Vivario;;NC60C43;2014-03-18 20:34:00;;30
2013;1506;0;2B;2B224;Pietracorbara;;NC88A43;2013-06-17 16:28:00;;100
2012;5354;0;2A;2A070;Casaglione;village;NB28H71;2012-06-28 16:04:00;3;400
2013;888;0;2B;2B049;Calenzana;SUARE;NC24E13;2013-04-20 17:00:00;;10000
2019;924;0;2B;2B112;Feliceto;;NC44B45;2019-03-10 15:07:00;;20000
2013;1232;0;2A;2A040;Bocognano;POGGIALE;NB48K93;2013-04-16 15:20:00;3;10000
2014;2719;0;2A;2A139;Lecci;SAN CIPRIANU;NB84C52;2014-05-12 14:38:00;3;800
2015;2317;0;2A;2A006;Alata;Carbinica;NB28F3;2015-06-24 16:36:00;3;20000
2022;5484;0;2A;2A006;Alata;U Triculacciu;NB28F23;2022-03-12 13:53:00;;30
2013;809;0;2B;2B355;Volpajola;;NC64L45;2013-04-12 12:44:00;;3000
2021;7337;0;2B;2B047;Calacuccia;route du sidossi;NC42F3;2021-10-09 19:40:00;;15
2012;7753;0;2B;2B136;Lama;;NC64A62;2012-08-21 18:02:00;;2000
2013;4007;0;2B;2B143;Linguizzetta;;NC80H91;2013-08-26 11:03:00;;300
2015;4646;0;2A;2A104;Eccica-Suarella;Plaine St Jean;NB46A9;2015-08-23 13:26:00;3;4200
2014;2979;0;2A;2A272;Sartène;Funtanella;NB44G3;2014-06-28 14:07:00;3;90000
2016;4273;0;2A;2A004;Ajaccio;VAZZIO - GARAGE PATRI AUTO;NB28K03;2016-07-20 21:58:00;3;4600
2019;2155;0;2A;2A362;Zonza;A testa;NB84D94;2019-04-01 08:28:00;;20
